Team,Round,Km,From,To
Shandong Hi-Speed Kirin,14,0,Jinan,Jinan
Shandong Hi-Speed Kirin,15,0,Jinan,Jinan
Shandong Hi-Speed Kirin,16,681,Jinan,Suzhou
Shandong Hi-Speed Kirin,17,1453,Suzhou,Changchun
Shandong Hi-Speed Kirin,18,272,Changchun,Shenyang
Shandong Hi-Speed Kirin,19,797,Shenyang,Jinan
Shandong Hi-Speed Kirin,20,0,Jinan,Jinan
Shandong Hi-Speed Kirin,21,767,Jinan,Hangzhou
Shandong Hi-Speed Kirin,22,767,Hangzhou,Jinan
Shandong Hi-Speed Kirin,23,301,Jinan,Tianjin
Shandong Hi-Speed Kirin,2,1844,Tianjin,Guangzhou
Shandong Hi-Speed Kirin,24,1546,Guangzhou,Jinan
Shandong Hi-Speed Kirin,25,0,Jinan,Jinan
Shandong Hi-Speed Kirin,26,0,Jinan,Jinan
Shandong Hi-Speed Kirin,27,730,Jinan,Shanghai
Shandong Hi-Speed Kirin,28,730,Shanghai,Jinan
Shandong Hi-Speed Kirin,29,1373,Jinan,Chengdu
Shandong Hi-Speed Kirin,30,2065,Chengdu,Urumqi
