Round,Home Team,Away Team
22,Xinjiang Flying Tigers,Guangdong Southern Tigers
22,Guangzhou Loong Lions,Ningbo Rockets
22,Jilin Northeast Tigers,Shanxi Loongs
22,Fujian Sturgeons,Qingdao Eagles
23,Guangdong Southern Tigers,Liaoning Flying Leopards
23,Jilin Northeast Tigers,Shanxi Loongs
23,Xinjiang Flying Tigers,Beijing Royal Fighters
23,Zhejiang Guangsha Lions,Ningbo Rockets
23,Nanjing Monkey Kings,Fujian Sturgeons
23,Shandong Hi-Speed Kirin,Zhejiang Golden Bulls
23,Shanghai Sharks,Qingdao Eagles
23,Shenzhen Leopards,Guangzhou Loong Lions
23,Beijing Ducks,Tianjin Pioneers
23,Sichuan Blue Whales,Jiangsu Dragons
24,Jilin Northeast Tigers,Beijing Royal Fighters
24,Shenzhen Leopards,Sichuan Blue Whales
24,Shanghai Sharks,Jiangsu Dragons
24,Zhejiang Guangsha Lions,Liaoning Flying Leopards
24,Guangdong Southern Tigers,Shandong Hi-Speed Kirin
24,Qingdao Eagles,Shanxi Loongs
24,Xinjiang Flying Tigers,Beijing Ducks
24,Guangzhou Loong Lions,Fujian Sturgeons
24,Tianjin Pioneers,Nanjing Monkey Kings
24,Zhejiang Golden Bulls,Ningbo Rockets
25,Zhejiang Guangsha Lions,Beijing Royal Fighters
25,Shenzhen Leopards,Shandong Hi-Speed Kirin
25,Xinjiang Flying Tigers,Nanjing Monkey Kings
25,Ningbo Rockets,Jilin Northeast Tigers
25,Guangzhou Loong Lions,Fujian Sturgeons
25,Jiangsu Dragons,Sichuan Blue Whales
25,Shanghai Sharks,Liaoning Flying Leopards
25,Zhejiang Golden Bulls,Tianjin Pioneers
25,Guangdong Southern Tigers,Shanxi Loongs
25,Beijing Ducks,Qingdao Eagles
26,Guangdong Southern Tigers,Beijing Ducks
26,Jiangsu Dragons,Jilin Northeast Tigers
26,Guangzhou Loong Lions,Liaoning Flying Leopards
26,Qingdao Eagles,Zhejiang Golden Bulls
26,Xinjiang Flying Tigers,Nanjing Monkey Kings
26,Ningbo Rockets,Beijing Royal Fighters
26,Zhejiang Guangsha Lions,Sichuan Blue Whales
26,Shenzhen Leopards,Fujian Sturgeons
26,Shandong Hi-Speed Kirin,Shanxi Loongs
26,Shanghai Sharks,Tianjin Pioneers
27,Liaoning Flying Leopards,Shanxi Loongs
27,Shenzhen Leopards,Guangdong Southern Tigers
27,Xinjiang Flying Tigers,Jilin Northeast Tigers
27,Fujian Sturgeons,Ningbo Rockets
27,Guangzhou Loong Lions,Beijing Ducks
27,Shandong Hi-Speed Kirin,Qingdao Eagles
27,Zhejiang Golden Bulls,Zhejiang Guangsha Lions
27,Nanjing Monkey Kings,Jiangsu Dragons
27,Shanghai Sharks,Sichuan Blue Whales
27,Tianjin Pioneers,Beijing Royal Fighters
28,Beijing Royal Fighters,Sichuan Blue Whales
28,Nanjing Monkey Kings,Zhejiang Guangsha Lions
28,Shenzhen Leopards,Ningbo Rockets
28,Tianjin Pioneers,Qingdao Eagles
28,Xinjiang Flying Tigers,Shanghai Sharks
28,Jiangsu Dragons,Shanxi Loongs
28,Jilin Northeast Tigers,Guangzhou Loong Lions
28,Liaoning Flying Leopards,Zhejiang Golden Bulls
28,Fujian Sturgeons,Guangdong Southern Tigers
28,Beijing Ducks,Shandong Hi-Speed Kirin
29,Guangdong Southern Tigers,Ningbo Rockets
29,Beijing Ducks,Qingdao Eagles
29,Beijing Royal Fighters,Shandong Hi-Speed Kirin
29,Guangzhou Loong Lions,Shanghai Sharks
29,Liaoning Flying Leopards,Nanjing Monkey Kings
29,Shanxi Loongs,Zhejiang Guangsha Lions
29,Tianjin Pioneers,Sichuan Blue Whales
29,Xinjiang Flying Tigers,Shenzhen Leopards
29,Jiangsu Dragons,Fujian Sturgeons
29,Jilin Northeast Tigers,Zhejiang Golden Bulls
30,Zhejiang Golden Bulls,Fujian Sturgeons
30,Liaoning Flying Leopards,Sichuan Blue Whales
30,Shanghai Sharks,Jilin Northeast Tigers
30,Guangzhou Loong Lions,Zhejiang Guangsha Lions
30,Jiangsu Dragons,Beijing Royal Fighters
30,Shanxi Loongs,Qingdao Eagles
30,Shandong Hi-Speed Kirin,Guangdong Southern Tigers
30,Beijing Ducks,Nanjing Monkey Kings
